X,Y
"Направленные боковые выступы, таким образом, действуют сообща при повторной балансировке входа воздушного змея, когда он ненадлежащим образом используется в боковом скольжении, что позволяет в пассивном режиме улучшить устойчивость при маневре.",Поток воздуха; Изменение скорости;
"В отрицательном электроде потеря лития также может приводить к небольшому механическому напряжению, однако это механическое напряжение намного меньше, чем для положительного электрода, так как литий является очень пластичным при комнатной температуре.",Напряжение; Механическая работа;
"Когда слой олова увеличивается в объеме за счет легирования литием, медный слой, с которым он связан, создает механическое ограничение и биморфная структура претерпевает перемещение (например, изгиб).",Изменение объема элемента; Механическая работа; Биморфная структура;
"Действительно, уже по виду съема сигнала, положенного в основу нынешнего описания способа согласно изобретению, получается определение среднего значения: взаимодействие между текучей средой и магнитным полем приводит к образованию индуцированного электрического поля, которое по величине и направлению в каждой точке пространства определяется действующими там пространственными составляющими скорости и поля.",Постоянное магнитное поле; Индуцированное электрическое поле; Текучая электропроводящая среда;
"Переходная поверхность между электродами и полупроводниковым слоем, который представляет собой фоточувствительную пленку, облучается светом возбуждения, что заставляет носители электродов пересекать барьер.",Металл полупроводниковый слой; Фоточувствительная пленка;
Соответственно терагерцевые волны взаимодействуют с обеспечивающей взаимодействие структурой для эффективного излучения или обнаружения терагерцевых волн.,ЭЛМ излучение; Электромагнитное излучение;
"В этом случае, в качестве облучающего блока может служить лазер возбуждения, в котором используются волокна, и поэтому можно уменьшить габариты и стоимость устройства.",Короткоимпульсный волоконный лазер;
"На периферии образуется закрученный поток с большей температурой, а в центре - закрученный охлажденный поток, причем вращение в центре происходит в другую сторону, чем на периферии.",Поток газа; Два потока вещества с разной температурой; Центробежная сила; Закрученный поток газа; Холодный и горячий потоки газа.;
"Под средой подразумеваются газы, пары, парогазовые, парожидкостные и другие сжимаемые смеси.",Поток газа; Сжимаемые среды; Парожидкостная среда; Парогазовая среда;
"Другими словами, газовая диффузия основана на различии скоростей диффузии легких и тяжелых молекул через пористые перегородки.",Тяжелые молекулы газа; Легкие молекулы газа; Различие в скоростях движения различных по массе молекул газа;
"Если диаметры пор малы по сравнению со средней длиной свободного пробега молекул в газе, то скорость диффузии пропорциональна квадратному корню из молекулярного веса, и следовательно, за перегородкой будет идти обогащение более легким изотопом.",Различие в скоростях движения различных по массе молекул газа; Изменение молекулярной массы; Разделение изотопов;
"Центробежный процесс - процесс разделения смеси газов за счет действия гравитационных или центробежных сил, действующих на атомы и молекулы.",Смесь газов; Центробежная сила; Разделение изотопов; Газовая смесь; Разделение газовой смеси;
Центробежный метод относится к молекулярно-кинетическим методам разделения изотопов.,Центробежная сила; Разделение изотопов; Разделение газовой смеси;
"Процесс включает адиабатическое охлаждение смеси газов в сверхзвуковом сопле и отбор жидкой фазы, перед подачей газового потока в сопло его закручивают до достижения необходимого центробежного ускорения в потоке во время прохождения им сопла.",Поток газа; Адиабатическое охлаждение смеси; Газовый поток; Жидкая фаза;
"Процессор выполнен с возможностью вычисления массового расхода технологического флюида и на использование статического давления и температуры технологического флюида для определения значения энергии единичной массы, относящегося к температуре технологического флюида, и для выдачи индикации потока энергии.",Поток технологического флюида; Энергия единичной массы; Технологический флюид;
"В вариантах осуществления настоящего изобретения, как правило, используется обобщенное соотношение для энергии на единицу массы, которое может быть объединено с массовым расходом для обеспечения обобщенной индикации потока энергии устройством измерения потока технологического флюида.",Поток технологического флюида; Энергия единичной массы; Технологический флюид;
"Способ преобразования энергии текучего агента в механическую работу, включающий возвратно-поступательное перемещение торообразной оболочки путем воздействия текучего агента на торообразную оболочку, отличающийся тем, что преобразование энергии текучего агента производят путем воздействия роликовой цепи, закрепленной на внутренней торообразной оболочке, на звездочки, кинематически соединенные с рабочим органом.",Механическая работа; Текучий агент воздух;
"В этом случае газы состоят в основном из нейтральных атомов и молекул, а заряженные частицы (электроны, ионы), имеющиеся в некотором объеме газа лишь в незначительном количестве, не могут образовать заметного тока.",Заряженные частицы; Очищаемый газ; Ионизированный газ;
"В данном изобретении установка цилиндрических пружин между балкой подвеса и осадительными электродами при условии упругости цилиндрических пружин, позволяет создавать резонансные колебания, когда частота собственных колебаний очищаемого газа совпадает с собственной частотой колебаний цилиндрической пружины, что приводит к резкому возрастанию амплитуды колебаний при накоплении на каждом осадительном электроде определенной массы уловленных частиц m перед началом встряхивания, обеспечивая стряхивание, то есть очистку каждого электрода в отдельности именно в момент накопления на его поверхности определенной массы уловленных частиц, затрудняющих дальнейший процесс электрофильтрования, что увеличивает эффективность очистки аппарата в целом.",Сила упругости; Изменение амплитуды колебаний; Резкое возрастание амплитуды колебаний; Уловленные частицы;
"Выполнение осадительных электродов в виде труб и установка цилиндрических пружин в качестве механизмов встряхивания между балкой подвеса и осадительными электродами при упругости цилиндрических пружин, позволяет проводить самовстряхивание осадительных электродов в резонансном режиме за счет равенства собственных частот колебаний очищаемого газа в каждой трубе осадительных электродов и цилиндрической пружины, то есть с высокой амплитудой без использования специальных механизмов встряхивания (вибраторов, ультразвуковых генераторов, магнитострикционных преобразователей и др.) и в строго определенный момент, не раньше накопления массы m уловленных частиц на электроде, что приводит к потере времени, затрачиваемого на встряхивание, и таким образом к уменьшению эффективности очистки, но и не после накопления массы m уловленных частиц на электроде, что приводит к ухудшению улавливающей способности электрода, ухудшая тем самым процесс очистки.",Колебания газа; Колебания пружины; Изменение массы частиц; Накопленние частиц пыли;
"Свойство самовыравнивания характеризуется степенью, которую можно определить, как отношение увеличения (уменьшения) подачи возмущающего потока энергии или вещества в объект, необходимого для перевода параметра регулирования от одного установившегося значения до другого установившегося значения к величине изменения параметра регулирования.",Кинетическая энергия; Изменение коэффициента самовыравнивания; Объект поплавковая камера;
"Аналогичный принцип используется на электромобилях, гибридных автомобилях, где вырабатываемая при торможении электроэнергия используется для подзарядки аккумуляторов.",Электрическая энергия; Кинетическая механическая энергия; Электрический аккумулятор небольшой емкости;
"Эффекты сжимаемости могут быть вызваны вибрационными измерителями потока, в котором сильные вибрации могут вызвать сжатие и жидкостных, и газовых фаз в многофазном потоке.",Газ; Жидкость; Изменение частоты вибрации;
"Эффект сжимаемости создает как массовый поток, так и погрешности плотности в вибрационном измерителе потока.",Изменение плотности вещества; Изменение частоты вибрации;
"Разбрызгивающий эффект происходит во время вибрации, когда газовые пузыри не перемещаются с жидкостью потока полностью.",Вибрация; Газовые пузыри и жидкость;
Эффект Саньяка — появление фазового сдвига встречных электромагнитных волн во вращающемся кольцевом интерферометре.,Разность фаз; Фазовый сдвиг;
Эффект проявляется и при кольцевом распространении волн неэлектромагнитной природы.,Фазовый сдвиг;
Преобразование осуществляется с помощью электрического моста (моста Уитстона) – контролируемая физическая величина преобразуется в электрический аналоговый сигнал.,Электрический аналоговый сигнал;
"Способ генерирования бинаурального звукового сигнала включает получение звуковых данных (звуковой сигнал М-канала, являющийся звуковым сигналом понижающего микширования N-канала), и пространственные параметрические данные для повышающего микширования звукового сигнала М-канала до звукового сигнала М-канала; далее - преобразование пространственных параметров пространственных параметрических данных в первые бинауральные параметры и определение коэффициентов фильтрации для стереофильтра.",Бинауральный сигнал; Изменение коэффициента фильтрации стереосигнала;
Амбилайт эффект – эффект внешнего освещения,Внешнее освещение;
"Благодаря этому поверхность стены за корпусом телевизора динамически освещается, тем самым дополняя ореолом интенсивность изображения на самом экране и визуально как бы увеличивая размер изображения",Интенсивность изображения;
"Эффект заключается в том, что временное изменение света, излучаемого системой освещения, как воспринимаемое человеком, ограничивается максимальным воспринимаемым временным изменением, связанным с пороговым расстоянием во втором цветовом пространстве",Излучение системой освещения; Пороговое расстояние; Изменение порогового расстояния;
"Промежуточная цветовая точка выбирается таким образом, чтобы промежуточное расстояние между преобразованными начальными цветовыми координатами и преобразованными промежуточными цветовыми координатами не превышало порогового расстояния, таким образом гарантируя, что изменение света при изменении света, излучаемого системой освещения от начальной цветовой точки до промежуточной цветовой точки, не превышает максимального воспринимаемого изменения, определенного пороговым расстоянием",Свет системы освещения; Изменение яркости; Расстояние яркости;
"При воздействии ультразвуковых колебаний средней и большой интенсивности возникает распыление жидкости, так называемое ультразвуковое фонтанирование, а в фонтане четко выделяется струя, состоящая из капелек сферической формы (в виде бусинок .)",Ультразвуковое воздействие; Струя капель тумана; Жидкость;
Туманообразование происходит в нижней части струи,Туманообразование;
В конструкции рассматриваемого типа деформация мембраны посредством изгиба не позволяет получать равномерное перемещение текучей среды на всей поверхности мембраны,Деформация;
"В зависимости от расположения микроотверстий на мембране они не обеспечивают одинакового расхода, и генерирование аэрозоля может оказаться нестабильным (пороговый эффект)",Нестабильный поток аэрозоля; Жидкость;
"С другой стороны, чувствительность вибрационной конструкции к механическим креплениям и уплотнениям для жидкости (паразитное демпфирование) делают технологические решения сложными и дорогими в аспекте крупносерийного изготовления таких конструкций с низкими затратами",Жидкость; Уплотненная жидкость;
Паразитное демпфирование приводит к нагреву вибрационного элемента и мембраны,Вибрация; Повышение температуры;
"С другой стороны, чувствительность вибрационной конструкции к механическим креплениям и уплотнениям для жидкости (паразитное демпфирование) делают технологические решения сложными и дорогими в аспекте крупносерийного изготовления таких конструкций с низкими затратами",Вибрация; Жидкость;
"Настоящее изобретение предназначено для применения в устройствах отображения изображения, имеющих устройство фоновой подсветки, включающее в себя такие источники света, которые излучают множество основных цветов, а также пригодно для использования в таких устройствах отображения изображения, как жидкокристаллические устройства отображения, имеющие функцию управления яркостью фоновой подсветки (функция затемнения фоновой подсветки)",Источники света; Жидкие кристаллы;
"Данная функция заключается в том, что управлением яркостью фоновой подсветки в зависимости от входного изображения можно сократить потребление энергии устройства фоновой подсветки и улучшить качество отображаемого изображения",Снижение потребления энергии;
Эффект Штарка — смещение и расщепление электронных термов атомов во внешнем электрическом поле,Смещение и расщепление электронных термов атомов;
"Эффект Штарка имеет место как в постоянном, так и переменных (включая свет) электрических полях",Постоянное или переменное электрическое поле;
"Электронные термы смещаются не только во внешнем поле, но и в поле, созданном соседними атомами и молекулами",Электроны и атомы;
"Эффект Керра, или квадратичный электрооптический эффект — явление изменения значения показателя преломления оптического материала пропорционально квадрату напряженности приложенного электрического поля",Электрическое поле; Оптический материал; Изменение показателя преломления оптического материала;
"Прямое смещение (приложение внешнего напряжения так, что создаваемое им электрическое поле направлено противоположно существующему в переходе полю, и динамическое равновесие нарушается, таким образом, что диффузионный ток преобладает над дрейфовым током, быстро нарастая с повышением напряжения) приводит к эффекту обесцвечивания экситонов",Напряжение;
Эффект приводит к изменению пика оптического поглощения и влияет на коэффициент преломления,Коэффициент преломления оптической среды; Изменение пика оптического поглощения;
"Эффект Франца — Келдыша — явление изменения поглощения света полупроводником в электрическом поле, в частности появления поглощения на частотах, меньших ширины запрещённой зоны полупроводника",Электрическое поле; Полупроводник в электрическом поле; Поглощение света;
Эффект Поккельса (электрооптический эффект Поккельса) — явление возникновения двойного лучепреломления в оптических средах при наложении постоянного или переменного электрического поля,Постоянное или переменное электрическое поле; Оптическая среда; Двойное лучепреломление;
Эффект электрорефракции заключается в долговременном сохранении изменений показателя преломления после удаления внешнего электрического поля,Внешнее электрическое поле; Показатель преломления;
"В таких массовых расходомерах, сила реакции Кориолиса, действующая на массу движущейся текучей среды, переносится на сам трубопровод и проявляется как отклонение или смещение трубопровода в направлении вектора силы Кориолиса в плоскости вращения",Текучая среда;
"Аэрация приводит к потерям энергии в трубопроводе, которые могут оказывать существенное отрицательное влияние на измерения, производимые массовым расходомером, и могут привести к блокировке трубопровода",Потери энергии;
Аэрация является по сути двухфазным потоком,Двухфазный поток;
"Эффект Вентури заключается в падении давления, когда поток жидкости или газа протекает через суженную часть трубы",Поток жидкости или газа; Падение давления;
Эффект базируется на различиях в плотности между разными концами трубопровода,Изменение плотности среды;
Перепад давления между входом и выходом трубопровода приводит к увеличению размера пузырька от входа к выходу,Давление; Изменение размеров пузырьков газа;
Ошибка массового расхода изменяется в зависимости от расхода и спада плотности,Падение плотности;
"Следует, что в этой области экспериментального пространства и для этой конструкции трубки Вентури происходит какой-то другой физический процесс для преодоления эффектов пропадающей массы двухфазного потока",Двухфазный поток;
"Горячая экструзия — процесс протекает при высоких скоростях и давлениях, значительном переходе механической энергии в тепловую, что приводит к различным по глубине изменениям в качественных показателях материала",Давление; Тепловая энергия; Термопластичный полимерный материал;
"Массовая доля влаги в сырье при горячей экструзии составляет 10…20 %, а температура превышает 120 °C",Температура;
"Антибликовая функция пластин с круговой поляризацией делает возможным предотвращение ненужного отражения, когда устройства формирования изображения «смотрят» в ярких окружениях, например, на улице",Антибликовое покрытие пластины;
"Причина в том, что коэффициент пропускания светового луча, проходящего через двулучепреломляющую среду, помещенную между кросс-никольными поляризаторами, пропорционален sin2 (2α), где α (единица - радиан) - угол, образованный осью поляризатора и осью наименьшей скорости распространения света в двулучепреломляющей среде",Световой луч; Повышение коэффициента пропускания;
"Согласно устройству LCD, коэффициент пропускания светового луча, проходящего через двулучепреломляющую среду, помещенную между пластиной с правой круговой поляризацией и пластиной с левой круговой поляризацией, ортогональными друг другу, не зависит от угла, образованного осью поляризатора и осью наименьшей скорости распространения света в двулучепреломляющей среде",Двулучепреломляющая среда;
"(A) Использование двух четвертьволновых пластин, удовлетворяющих nx>ny>nz (В) Комбинированное использование двух четвертьволновых пластин, удовлетворяющих nx>nz>ny, и двулучепреломляющего слоя (III), удовлетворяющего nx=ny>nz (С) Комбинированное использование одной или двух полуволновых пластин, удовлетворяющих nx>nz>ny, в дополнение к конфигурации (В) (D) Комбинированное использование двух одноосных четвертьволновых пластин (так называемых A-пластин, удовлетворяющих nx>ny=nz), двулучепреломляющего слоя (III), удовлетворяющего nx=ny>nz, и двулучепреломляющего слоя, удовлетворяющего nx>nz>ny",Двулучепреломлящие слои пленок;
"Даже если относительный угол, образованный осью наименьшей скорости распространения света в плоскости у первого двулучепреломляющего слоя (I) и осью поглощения первого поляризатора, не равен точно 45°, то эффект предупреждения рассеяния светового потока в нормальном направлении поверхности подложки может быть получен в достаточной мере, потому что ось наименьшей скорости распространения света в плоскости у первого двулучепреломляющего слоя (I) ортогональна таковой у второго двулучепреломляющего слоя (I)",Коэффициент рассеяния; Двулучепреломляющие слои пленок;
"Световой луч, входящий в микрорельефную пленку, достигает участка основы через мелкие выступы, образующие поверхность пленки, и поэтому область, где существуют одновременно выступы и воздух между воздухом и участком основы, рассматривается как область с показателем преломления, промежуточным между показателем преломления материала, образующего пленку (около 1,5, если смола образует пленку), и показателем преломления воздуха (1,0)",Световой луч; Показатель преломления;
"Способ отображения цветов преображает входной сигнал изображения в выходной сигнал изображения для дисплея, который содержит пиксели дисплея, имеющие подпиксели с основными цветами, задающими цветовую гамму дисплея, которая охватывает все цвета, которые может отображать дисплей",Световой луч – основной цвет;
"Выделению шумовой составляющей из стабилизированного напряжения предшествует операция преобразования спектра стабилизированного выходного напряжения, обеспечивающая сужение спектральной полосы шумовой составляющей сигнала источника опорного напряжения как со стороны инфранизких, так и со стороны ультравысоких частот",Шумовой сигнал; Опорное напряжение;
Магнитная восприимчивость χ ферромагнетиков характеризуется начальной χНАЧ магнитной восприимчивостью в отсутствие внешнего магнитного поля H и максимальной χMAX магнитной восприимчивостью в магнитном поле Н=Н*,Постоянное магнитное поле; Изменение магнитной восприимчивости;
"Если магнитное поле увеличивать при H>H*, то магнитная восприимчивость уменьшается, и в насыщающем магнитном поле HНАС>>H* возникает магнитное насыщение ферромагнетика, при котором произведение χ(HНАС) ННАС=const, и поэтому магнитная восприимчивость ферромагнетика уменьшается с ростом насыщающего магнитного поля",Ферромагнетик в виде кольца; Уменьшение магнитной восприимчивости;
"Это - состояние ферромагнетика, при котором его намагниченность J достигает предельного значения — намагниченности насыщения, не меняющейся при дальнейшем увеличении напряжённости намагничивающего поля",Напряженность магнитного поля; Намагниченность;
"В случае ферромагнетиков достигается при окончании так называемых процессов технического намагничивания: а) роста доменов с магнитным моментом, ориентированным по оси лёгкого намагничивания, в результате процесса смещения границ доменов; б) поворота вектора намагниченности образца в направлении намагничивающего поля (процесса вращения); и парапроцесса — увеличения под действием сильного внешнего поля числа спинов, ориентированных по полю, за счёт спинов, имеющих антипараллельную ориентацию",Ферромагнетик в виде кольца; Рост доменов с магнитным моментом;
"Можно сказать, что это задержка во времени изменения магнитных характеристик ферромагнетиков (намагниченности, магнитной проницаемости и др) от изменений напряжённости внешнего магнитного поля",Напряженность; Изменение магнитной проницаемости; Задержка во времени изменения магнитных характеристик ферромагнетиков;
"Рефракция (преломление) — изменение направления луча (волны), возникающее на границе двух сред, через которые этот луч проходит или в одной среде, но с меняющимися свойствами, в которой скорость распространения волны неодинакова",Изменение показателя преломления вещества;
"Контрастное поглощение рентгеновского излучения применяется на практике, например, для контроля внутренней трещины в железе и стали или для контроля безопасности багажа, используя разность в поглощаемой мощности рентгеновского излучения, обладающего высокой проникающей способностью",Рентгеновское излучение;
"Для обнаружения объекта, имеющего небольшое отличие плотности от окружающей среды и создающего менее контрастное поглощение рентгеновского излучения, эффективен фазоконтрастный способ получения рентгеновских изображений посредством фазового контраста, при котором обнаруживается фазовый сдвиг рентгеновского излучения, создаваемый объектом",Рентгеновское излучение; Фазовый сдвиг рентгеновского излучения;
"Для того, чтобы облегчить осуществление холодной абляции, интенсивность лазерных импульсов должна превышать установленное пороговое значение",Лазерный импульс;
"Чтобы достичь высокой эффективности обработки и, тем самым, производительности на промышленном уровне, частота повторения импульсов должна быть высокой, например, равной 1 МГц, предпочтительно свыше 2 МГц, еще более предпочтительно свыше 5 МГц",Лазерный импульс;
"Данный эффект приводит к осаждению частиц, т.е. к ухудшению качества плазмы и соответственно качества наносимого покрытия (тонкой пленки) и к нежелательной эрозии материала мишени, его возможному нагреву и т.д",Нагрев материала; Эрозия материала;
Обычно в электрическую энергию удается преобразовать менее 10% световой энергии,Световая энергия; Электрическая энергия;
Регулирование сопротивления твердотельных приборов на основе полярнозависимого электромассопереноса в кремнии до заданной величины осуществляют за счет приложения к электродам прибора электрических сигналов и контроля величины его сопротивления,Электрический сигнал; Изменение сопротивления; Пластина кремния;
"Пропускание нарастающего импульса тока (в режиме генератора тока) по сформированной МП (в том же направлении, что и при формовке) приводит, после достижения током некоторого порогового значения, к скачкообразным осцилляциям сопротивления, при которых после каждого «скачка» сопротивление МП уменьшается",Импульс тока; Сопротивление; Металлическая перемычка;
"Выявлены следующие закономерности обнаруженного эффекта: 1) величина порогового значения тока обратно пропорциональна исходному значению сопротивления МП; 2) частота скачкообразных осцилляций сопротивления: - пропорциональна величине скорости нарастания тока, пропускаемого через МП; - определяется свойствами металла, из которого формируется МП",Импульс тока; Сопротивление; Металлическая перемычка;
